FID,gid,UF,nome,Censo,Populacao_Masculina,Populacao_Feminina
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2ee1,3997,MATO GROSSO,Arenápolis,2010,5191,5125
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2edd,5063,SÃO PAULO,Mongaguá,2010,23098,23195
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2edc,999,AMAZONAS,Maués,2010,27283,24953
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e9a,3256,MINAS GERAIS,Simão Pereira,2010,1248,1289
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e8d,1430,CEARÁ,Beberibe,2010,24857,24454
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e82,4753,SÃO PAULO,Pontes Gestal,2010,1256,1262
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e74,2635,PERNAMBUCO,Vicência,2010,15183,15549
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e73,369,RIO GRANDE DO SUL,Pejuçara,2010,2008,1965
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e71,3945,RONDÔNIA,Primavera de Rondônia,2010,1856,1668
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e67,2408,PARAÍBA,Capim,2010,2815,2786
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e66,623,RIO GRANDE DO SUL,Faxinalzinho,2010,1283,1284
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e65,282,BAHIA,São Félix do Coribe,2010,6536,6512
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e5a,3094,PARANÁ,Joaquim Távora,2010,5321,5415
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e53,4577,SÃO PAULO,Itirapuã,2010,3013,2901
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e51,4657,SÃO PAULO,Mira Estrela,2010,1401,1419
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e49,4658,SÃO PAULO,Mirandópolis,2010,15055,12428
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e3e,3880,PARANÁ,Antonina,2010,9349,9542
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e3a,5050,SÃO PAULO,Itapecerica da Serra,2010,76270,76344
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e31,1446,MATO GROSSO DO SUL,Guia Lopes da Laguna,2010,5208,5158
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e1f,5047,SÃO PAULO,Ibiúna,2010,36216,35001
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e0c,2936,MINAS GERAIS,Santa Bárbara do Tugúrio,2010,2323,2247
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2e09,4020,MATO GROSSO,Água Boa,2010,10932,9924
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2dea,833,PIAUÍ,Cocal dos Alves,2010,2797,2775
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2ddb,2105,RIO GRANDE DO NORTE,São Pedro,2010,3172,3063
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2dd9,1937,RIO DE JANEIRO,Paraíba do Sul,2010,19751,21333
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2dc5,1717,RIO GRANDE DO NORTE,Luís Gomes,2010,4723,4887
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2dc4,2623,MINAS GERAIS,Patrocínio,2010,41939,40532
